Date	Netherlands	Greece
10/25/1991	327.579	328.369
10/28/1991	330.493	328.369
10/29/1991	330.833	334.197
10/30/1991	330.564	336.811
10/31/1991	328.863	346.373
11/1/1991	327.709	345.716
11/4/1991	326.23	347.477
11/5/1991	328.438	343.607
11/6/1991	327.66	340.926
11/7/1991	329.322	338.228
11/8/1991	334.127	338.975
11/11/1991	332.586	341.34
11/12/1991	334.957	342.494
11/13/1991	334.482	338.535
11/14/1991	335.377	335.766
11/15/1991	335.498	338.336
11/18/1991	328.498	335.254
11/19/1991	325.199	336.833
11/20/1991	325.708	336.202
11/21/1991	325.394	339.058
11/22/1991	325.736	342.602
11/25/1991	322.455	348.573
11/26/1991	322.537	357.374
11/27/1991	321.387	354.098
11/28/1991	320.854	349.851
11/29/1991	320.335	346.498
12/2/1991	316.415	342.37
12/3/1991	319.856	340.538
12/4/1991	320.507	337.721
12/5/1991	318.542	337.506
12/6/1991	315.611	341.973
12/9/1991	316.184	339.481
12/10/1991	315.396	334.057
12/11/1991	313.752	338.057
12/12/1991	315.17	332.945
12/13/1991	319.931	332.495
12/16/1991	320.585	334.653
12/17/1991	321.394	335.504
12/18/1991	320.958	335.951
12/19/1991	318.5	341.754
12/20/1991	314.198	340.959
12/23/1991	313.734	339.675
12/24/1991	317.344	340.841
12/25/1991	317.344	340.841
12/26/1991	317.344	340.841
12/27/1991	319.053	340.841
12/30/1991	320.213	341.771
12/31/1991	320.213	341.304
1/1/1992	320.213	341.304
1/2/1992	327.218	336.75
1/3/1992	329.278	336.023
1/6/1992	326.694	336.023
1/7/1992	323.686	335.018
1/8/1992	321.412	337.126
1/9/1992	325.777	341.498
1/10/1992	325.047	340.815
1/13/1992	325.593	338.901
1/14/1992	328.65	338.454
1/15/1992	336.701	338.588
1/16/1992	336.466	341.271
1/17/1992	338.461	342.813
1/20/1992	338.823	351.135
1/21/1992	340.457	357.789
1/22/1992	339.049	356.522
1/23/1992	338.281	355.313
1/24/1992	337.989	360.222
1/27/1992	339.102	373.86
